pricePerSquareFoot,city,yearBuilt,livingAreaValue,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,homeType,county
119.0,Alto,1999,1512.0,2.0,3.0,1512.0,0,0.0,0,One,0,0,0,SINGLE_FAMILY,Habersham County
119.0,Alto,2000,4176.0,3.0,4.0,4176.0,1,0.0,1,One,0,0,0,SINGLE_FAMILY,Banks County
278.0,Alto,1955,1080.0,1.0,2.0,1080.0,1,0.0,0,One,0,0,0,SINGLE_FAMILY,Habersham County
104.0,Alto,2006,3760.0,3.0,6.0,3760.0,0,0.0,0,One and One Half,0,0,0,SINGLE_FAMILY,Banks County
507.0,Alto,2007,11828.0,0.0,4.0,11828.0,1,3.0,1,Two,1,0,0,SINGLE_FAMILY,Banks County
94.0,Americus,1969,1274.0,2.0,3.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Sumter County
101.0,Americus,1940,1272.0,1.0,2.0,0.0,0,0.0,0,0,1,0,0,SINGLE_FAMILY,Sumter County
151.0,Appling,1961,1650.0,2.0,3.0,1650.0,0,0.0,0,Split Level,0,0,0,SINGLE_FAMILY,Columbia County
235.0,Appling,1997,3400.0,4.0,4.0,3400.0,1,2.0,1,Two,1,0,0,SINGLE_FAMILY,Columbia County
215.0,Appling,1995,4131.0,4.0,5.0,4131.0,0,0.0,0,Two,0,0,0,SINGLE_FAMILY,Columbia County
171.0,Aragon,2020,1312.0,2.0,3.0,1312.0,1,1.0,1,One,0,0,0,SINGLE_FAMILY,Polk County
160.0,Athens,1989,1559.0,2.0,3.0,1559.0,1,0.0,1,One,0,0,0,SINGLE_FAMILY,Clarke County
148.0,Athens,2003,0.042791551882460976,2.0,3.0,1864.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Clarke County
145.0,Athens,2005,2075.0,2.0,3.0,2075.0,1,0.0,1,One,0,0,0,SINGLE_FAMILY,Clarke County
128.0,Athens,1980,0.025068870523415977,2.0,0.0,1092.0,1,0.0,0,One,0,0,0,CONDO,Clarke County
139.0,Athens,1976,1440.0,2.0,4.0,1440.0,1,0.0,0,Two,0,0,0,SINGLE_FAMILY,Clarke County
130.0,Athens,1979,1764.0,2.0,3.0,1764.0,1,0.0,1,Two,0,0,0,SINGLE_FAMILY,Clarke County
149.0,Athens,2005,2343.0,3.0,4.0,2343.0,1,0.0,1,Two,0,1,0,SINGLE_FAMILY,Clarke County
176.0,Athens,2004,0.02667584940312213,2.0,2.0,1162.0,0,0.0,0,Three Or More,0,0,0,CONDO,Clarke County
