price,pricePerSquareFoot,city,yearBuilt,livingAreaValue,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,homeType,county
129000.0,101.0,Americus,1940,1272.0,1.0,2.0,0.0,0,0.0,0,0,1,0,0,SINGLE_FAMILY,Sumter County
249000.0,151.0,Appling,1961,1650.0,2.0,3.0,1650.0,0,0.0,0,Split Level,0,0,0,SINGLE_FAMILY,Columbia County
799900.0,235.0,Appling,1997,3400.0,4.0,4.0,3400.0,1,2.0,1,Two,1,0,0,SINGLE_FAMILY,Columbia County
888000.0,215.0,Appling,1995,4131.0,4.0,5.0,4131.0,0,0.0,0,Two,0,0,0,SINGLE_FAMILY,Columbia County
225000.0,171.0,Aragon,2020,1312.0,2.0,3.0,1312.0,1,1.0,1,One,0,0,0,SINGLE_FAMILY,Polk County
250000.0,160.0,Athens,1989,1559.0,2.0,3.0,1559.0,1,0.0,1,One,0,0,0,SINGLE_FAMILY,Clarke County
275000.0,148.0,Athens,2003,0.042791551882460976,2.0,3.0,1864.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Clarke County
299900.0,145.0,Athens,2005,2075.0,2.0,3.0,2075.0,1,0.0,1,One,0,0,0,SINGLE_FAMILY,Clarke County
139900.0,128.0,Athens,1980,0.025068870523415977,2.0,0.0,1092.0,1,0.0,0,One,0,0,0,CONDO,Clarke County
199900.0,139.0,Athens,1976,1440.0,2.0,4.0,1440.0,1,0.0,0,Two,0,0,0,SINGLE_FAMILY,Clarke County
229000.0,130.0,Athens,1979,1764.0,2.0,3.0,1764.0,1,0.0,1,Two,0,0,0,SINGLE_FAMILY,Clarke County
350000.0,149.0,Athens,2005,2343.0,3.0,4.0,2343.0,1,0.0,1,Two,0,1,0,SINGLE_FAMILY,Clarke County
204900.0,176.0,Athens,2004,0.02667584940312213,2.0,2.0,1162.0,0,0.0,0,Three Or More,0,0,0,CONDO,Clarke County
269900.0,180.0,Athens,1987,1500.0,2.0,3.0,1500.0,1,0.0,0,One,0,0,0,SINGLE_FAMILY,Clarke County
235000.0,146.0,Athens,1988,1606.0,2.0,3.0,1606.0,1,0.0,1,One,0,0,0,SINGLE_FAMILY,Clarke County
284990.0,162.0,Athens,2021,1756.0,3.0,4.0,1756.0,1,0.0,1,Two,0,0,1,SINGLE_FAMILY,Clarke County
